,TPK DKI JAKARTA,Data Inflasi,monthly_hotel_accomodation_gt,monthly_air_transportation_gt,monthly_sea_transportation_gt,monthly_land_transportation_gt,monthly_kurs_jual,monthly_culinary_shopping_gt,monthly_vacation_venue_gt,monthly_holiday_count,Kunjungan Wisnus DKI Jakarta,is_national_holiday,is_educational_holiday,is_covid
2019-01-31,69.84,2.82,30.763548387096773,15.959354838709677,0.4038709677419355,11.800645161290323,14227.774193548386,50.56548387096774,33.07032258064516,12,5397751,1,1,0
2019-02-28,63.37,2.5700000000000003,29.932142857142857,14.406071428571428,0.3892857142857143,10.479285714285714,14098.17857142857,48.045,29.959285714285716,9,4349186,1,0,0
2019-03-31,59.56,2.48,30.621935483870967,14.055806451612904,0.5993548387096773,11.52741935483871,14289.870967741936,49.54741935483871,28.529032258064515,11,4859467,1,0,0
2019-04-30,58.92,2.83,31.877666666666666,14.0,0.8753333333333334,12.705666666666668,14199.8,51.751666666666665,33.501666666666665,11,4798553,1,0,0
2019-05-31,54.32,3.32,30.25483870967742,14.290322580645162,1.6435483870967742,11.708709677419355,14455.645161290322,53.23645161290323,22.35967741935484,12,4428139,1,1,0
2019-06-30,50.51,3.2800000000000002,35.595,17.63566666666667,2.062,18.648333333333333,14326.6,64.84700000000001,48.508,15,5181301,1,0,0
2019-07-31,64.15,3.32,36.803870967741936,16.833225806451615,0.8606451612903225,14.957096774193548,14108.709677419354,57.62032258064516,35.534516129032255,18,5727689,0,1,0
2019-08-31,58.11,3.49,33.111935483870965,14.57774193548387,0.34258064516129033,11.88225806451613,14307.935483870968,52.648709677419355,36.8041935483871,9,5927808,1,0,0
2019-09-30,58.97,3.39,34.30433333333334,14.795,0.29733333333333334,11.050333333333333,14178.733333333334,50.65,33.05433333333333,9,5562321,1,0,0
2019-10-31,62.67,3.1300000000000003,34.534838709677416,15.231935483870968,0.7383870967741936,11.736774193548387,14186.05258064516,50.31548387096774,30.831935483870968,8,6491736,0,0,0
2019-11-30,64.17,3.0,37.977,16.640333333333334,0.8563333333333334,13.586333333333334,14136.365666666667,54.707,31.339999999999996,9,6602925,1,0,0
2019-12-31,61.59,2.7199999999999998,41.291935483870965,16.95387096774194,1.187741935483871,15.69032258064516,14080.732903225806,64.49774193548387,57.291935483870965,16,5290943,1,1,0
2020-01-31,51.37,2.68,32.05483870967742,17.53806451612903,0.5312903225806451,11.862903225806452,13806.561612903224,51.49,33.2858064516129,11,4285490,1,1,0
2020-02-29,54.28,2.98,32.11,15.907931034482758,0.21241379310344827,11.277586206896553,13859.160689655171,50.72379310344827,29.049310344827585,9,3980736,0,0,0
2020-03-31,36.93,2.96,18.4541935483871,13.345161290322581,0.17516129032258063,6.091290322580646,15367.91064516129,30.06709677419355,16.280322580645162,10,2731511,1,0,1
2020-04-30,19.84,2.67,8.566,6.8100000000000005,0.13933333333333334,2.4376666666666664,15949.889,10.613333333333333,10.285666666666666,11,800210,1,1,1
2020-05-31,24.32,2.19,10.212903225806452,6.542903225806452,0.06548387096774194,2.6887096774193546,14953.916774193547,13.164193548387097,9.33774193548387,22,1102095,1,1,1
2020-06-30,26.47,1.96,14.484,8.523666666666667,0.478,6.078333333333333,14275.726,23.824666666666666,17.854333333333333,11,1730939,1,1,1
2020-07-31,41.03,1.54,16.093548387096774,7.956451612903226,0.15870967741935485,4.913870967741936,14668.65806451613,25.17806451612903,16.537419354838708,17,2338540,1,1,1
2020-08-31,36.18,1.32,17.057096774193546,7.5845161290322585,0.33838709677419354,5.18258064516129,14814.480322580646,26.391935483870967,22.978709677419356,13,2588398,1,0,1
2020-09-30,38.96,1.4200000000000002,13.082333333333334,7.179,0.11433333333333333,3.9883333333333337,14923.414666666667,17.947999999999997,18.35,8,1961247,0,0,1
2020-10-31,44.33,1.44,14.999032258064517,7.0525806451612905,0.2558064516129032,4.898387096774194,14825.405483870967,19.120322580645162,17.815806451612904,12,2466514,1,0,1
